City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Vao,NC,71.62,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
5,Rikitea,PF,73.24,broken clouds,-23.1203,-134.9692,People ThankYou
7,Hilo,US,82.13,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
8,Jaru,BR,82.27,broken clouds,-10.4389,-62.4664,Hotel Paraná
13,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
16,Voh,NC,77.65,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
18,Saint-Philippe,RE,74.75,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
22,Kavieng,PG,82.31,light rain,-2.5744,150.7967,Nusa Island Retreat
27,Saint-Georges,GD,83.88,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
28,Castro,BR,68.11,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
31,Jonacatepec,MX,83.86,clear sky,18.6833,-98.8,Raíz de Amate
33,Talcahuano,CL,67.68,clear sky,-36.7167,-73.1167,departamento comodo
37,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
38,Hermanus,ZA,67.89,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
39,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
40,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
43,Kondagaon,IN,68.9,broken clouds,19.6,81.6667,AYAN MOTER
45,Richards Bay,ZA,66.72,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
46,Morant Bay,JM,84.61,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
47,Caravelas,BR,74.62,light rain,-17.7125,-39.2481,Pousada dos Navegantes
48,Banda Aceh,ID,78.8,broken clouds,5.5577,95.3222,Sulthan Hotel International
54,Arraial Do Cabo,BR,71.56,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
55,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
58,Alice Springs,AU,69.35,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
64,Ibra,OM,68.36,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
66,Port-Gentil,GA,78.76,thunderstorm with light rain,-0.7193,8.7815,Fengshui Residence
67,Garissa,KE,80.65,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
68,Sao Filipe,CV,78.75,overcast clouds,14.8961,-24.4956,Hotel Xaguate
72,Lompoc,US,77.09,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
73,Cape Town,ZA,68.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
78,Vila Velha,BR,71.55,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
79,Domoni,KM,77.79,few clouds,-12.2569,44.5319,Al Djadid
86,Kapaa,US,82.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
87,Pringsewu,ID,74.3,overcast clouds,-5.3582,104.9744,Urban Style by Front One
88,Pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
90,Kendari,ID,75.42,broken clouds,-3.945,122.4989,Hotel Wixel
91,Zambezi,ZM,65.77,overcast clouds,-13.5432,23.1047,Royal Kutachika Lodge
92,Atuona,PF,78.89,clear sky,-9.8,-139.0333,Villa Enata
93,Karachi,PK,67.82,clear sky,24.9056,67.0822,Sadaat
95,Victoria,HK,74.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
97,Naze,JP,68.68,overcast clouds,28.3667,129.4833,Shishime Hotel
101,Vila Franca Do Campo,PT,66.61,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
102,Kirakira,SB,83.7,few clouds,-10.4544,161.9205,SanBiz Lodge
105,Hithadhoo,MV,79.97,light rain,-0.6,73.0833,Scoop Guest House
106,Eydhafushi,MV,81.91,broken clouds,5.1033,73.0708,Soneva Fushi
107,Butaritari,KI,81.63,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
108,Yenagoa,NG,76.78,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
109,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
113,Dois Corregos,BR,83.55,scattered clouds,-22.3661,-48.3803,Hotel Pousada Aquino Paraiso
115,Ballina,AU,69.78,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
117,San Patricio,US,80.55,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
119,Bengkulu,ID,75.31,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
120,Cap Malheureux,MU,76.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
124,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
125,Lorengau,PG,83.93,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
