City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Barrow,US,71.2906,-156.7887,1.42,71,40,3.44,haze
1,Bredasdorp,ZA,-34.5322,20.0403,61.29,77,100,16.96,overcast clouds
2,Nikolskoye,RU,59.7035,30.7861,37.29,83,17,9.91,few clouds
3,Vao,NC,-22.6667,167.4833,71.62,85,94,24.76,overcast clouds
4,Baruun-Urt,MN,46.6806,113.2792,14.86,93,100,18.01,snow
5,Rikitea,PF,-23.1203,-134.9692,73.24,62,62,5.88,broken clouds
6,Chokurdakh,RU,70.6333,147.9167,-13.59,100,94,5.44,overcast clouds
7,Hilo,US,19.7297,-155.09,82.13,72,40,10.36,scattered clouds
8,Jaru,BR,-10.4389,-62.4664,82.27,83,64,2.24,broken clouds
9,Ust-Nera,RU,64.5667,143.2,-12.75,98,100,1.74,overcast clouds
10,Kodiak,US,57.79,-152.4072,36.91,65,90,29.93,light rain
11,Grindavik,IS,63.8424,-22.4338,30.67,80,90,5.75,snow
12,Riga,LV,57.0,24.0833,41.07,87,0,5.75,clear sky
13,Vaini,TO,-21.2,-175.2,84.36,84,20,4.61,few clouds
14,Bluff,NZ,-46.6,168.3333,55.09,85,100,7.0,moderate rain
15,East London,ZA,-33.0153,27.9116,64.31,80,100,12.73,overcast clouds
16,Voh,NC,-20.9667,164.7,77.65,68,93,4.0,overcast clouds
17,Busselton,AU,-33.65,115.3333,58.05,63,91,8.66,overcast clouds
18,Saint-Philippe,RE,-21.3585,55.7679,74.75,73,5,6.4,clear sky
19,Punta Arenas,CL,-53.15,-70.9167,46.51,46,40,34.52,scattered clouds
20,Obo,CF,5.3998,26.4869,73.71,68,7,3.2,clear sky
21,Mataura,NZ,-46.1927,168.8643,57.81,73,100,4.34,overcast clouds
22,Kavieng,PG,-2.5744,150.7967,82.31,76,23,7.11,light rain
23,Qaanaaq,GL,77.484,-69.3632,-6.3,69,0,6.78,clear sky
24,Flin Flon,CA,54.7682,-101.865,19.24,86,90,6.91,light snow
25,Port Alfred,ZA,-33.5906,26.891,64.51,74,100,16.73,overcast clouds
26,Deputatskiy,RU,69.3,139.9,-6.16,98,100,2.82,overcast clouds
27,Saint-Georges,GD,12.0564,-61.7485,83.88,70,40,13.8,scattered clouds
28,Castro,BR,-24.7911,-50.0119,68.11,73,70,5.79,broken clouds
29,Komsomolskiy,UZ,40.4272,71.7189,29.62,59,0,6.91,clear sky
30,Aripuana,BR,-9.1667,-60.6333,82.0,70,100,0.54,overcast clouds
31,Jonacatepec,MX,18.6833,-98.8,83.86,34,4,4.21,clear sky
32,Katsuura,JP,35.1333,140.3,55.51,74,17,6.55,few clouds
33,Talcahuano,CL,-36.7167,-73.1167,67.68,68,0,9.22,clear sky
34,Hobart,AU,-42.8794,147.3294,58.01,80,20,8.05,few clouds
35,Masyaf,SY,35.0653,36.3406,53.65,87,100,12.03,overcast clouds
36,Mandalgovi,MN,45.7625,106.2708,7.14,72,100,35.39,overcast clouds
37,Isangel,VU,-19.55,169.2667,80.71,78,75,0.0,broken clouds
38,Hermanus,ZA,-34.4187,19.2345,67.89,74,100,20.0,overcast clouds
39,Georgetown,MY,5.4112,100.3354,78.73,89,40,2.3,scattered clouds
40,Puerto Ayora,EC,-0.7393,-90.3518,76.96,75,37,10.71,scattered clouds
41,Tadine,NC,-21.55,167.8833,76.32,76,8,15.75,clear sky
42,Nelson,NZ,-41.2833,173.2833,62.44,88,100,1.01,light rain
43,Kondagaon,IN,19.6,81.6667,68.9,96,52,3.56,broken clouds
44,Ushuaia,AR,-54.8,-68.3,37.06,81,90,37.98,heavy snow
45,Richards Bay,ZA,-28.783,32.0377,66.72,71,100,2.66,overcast clouds
46,Morant Bay,JM,17.8815,-76.4093,84.61,70,100,8.25,overcast clouds
47,Caravelas,BR,-17.7125,-39.2481,74.62,90,100,4.05,light rain
48,Banda Aceh,ID,5.5577,95.3222,78.8,83,79,11.41,broken clouds
49,Bethel,US,41.3712,-73.414,43.72,46,97,1.01,overcast clouds
50,Luderitz,NA,-26.6481,15.1594,59.61,91,1,17.94,clear sky
51,Noyabrsk,RU,63.1994,75.4507,13.05,94,100,14.47,overcast clouds
52,Saskylakh,RU,71.9167,114.0833,-26.73,100,92,5.1,overcast clouds
53,Albany,US,42.6001,-73.9662,42.8,57,100,1.01,overcast clouds
54,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,78,75,9.22,broken clouds
55,Belmonte,BR,-15.8631,-38.8828,79.3,84,100,8.84,overcast clouds
56,Tiksi,RU,71.6872,128.8694,-10.3,95,100,6.6,overcast clouds
57,Monteagudo,BO,-19.8167,-63.9833,87.58,48,99,2.17,overcast clouds
58,Alice Springs,AU,-23.7,133.8833,69.35,68,37,14.97,scattered clouds
59,Saint-Junien,FR,45.8833,0.9,45.84,92,99,1.66,overcast clouds
60,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,77,75,6.91,broken clouds
61,Pevek,RU,69.7008,170.3133,-11.27,99,64,3.67,broken clouds
62,Kabanjahe,ID,3.1001,98.4908,61.56,95,100,2.82,light rain
63,Torbay,CA,47.6666,-52.7314,38.75,88,20,8.05,few clouds
64,Ibra,OM,22.6906,58.5334,68.36,48,6,4.59,clear sky
65,Leningradskiy,RU,69.3833,178.4167,-11.06,86,3,3.53,clear sky
66,Port-Gentil,GA,-0.7193,8.7815,78.76,94,40,5.75,thunderstorm with light rain
67,Garissa,KE,-0.4536,39.6401,80.65,72,84,12.24,broken clouds
68,Sao Filipe,CV,14.8961,-24.4956,78.75,79,100,7.07,overcast clouds
69,Nome,US,64.5011,-165.4064,3.27,56,1,4.61,clear sky
70,Nantucket,US,41.2835,-70.0995,43.09,66,1,4.61,clear sky
71,Shache,CN,38.4167,77.2406,29.88,43,0,3.56,clear sky
72,Lompoc,US,34.6391,-120.4579,77.09,60,1,13.8,clear sky
73,Cape Town,ZA,-33.9258,18.4232,68.11,62,0,12.66,clear sky
74,Yellowknife,CA,62.456,-114.3525,0.41,90,20,11.5,few clouds
75,Khatanga,RU,71.9667,102.5,-21.89,100,100,5.46,overcast clouds
76,Klaksvik,FO,62.2266,-6.589,40.12,78,100,30.13,overcast clouds
77,Upernavik,GL,72.7868,-56.1549,2.95,83,88,8.63,overcast clouds
78,Vila Velha,BR,-20.3297,-40.2925,71.55,95,90,17.0,overcast clouds
79,Domoni,KM,-12.2569,44.5319,77.79,85,18,7.25,few clouds
80,Churapcha,RU,62.0025,132.4325,-32.08,100,81,1.43,broken clouds
81,Port Elizabeth,ZA,-33.918,25.5701,64.69,72,75,13.8,broken clouds
82,Nemuro,JP,43.3236,145.575,37.85,72,100,9.78,overcast clouds
83,Airai,TL,-8.9266,125.4092,61.86,88,24,1.86,few clouds
84,Nanlong,CN,31.3533,106.0631,53.98,61,100,8.5,overcast clouds
85,Korla,CN,41.7597,86.1469,26.29,57,0,0.63,clear sky
86,Kapaa,US,22.0752,-159.319,82.18,72,20,1.99,few clouds
87,Pringsewu,ID,-5.3582,104.9744,74.3,92,100,3.06,overcast clouds
88,Pisco,PE,-13.7,-76.2167,69.85,73,0,17.27,clear sky
89,Jamestown,US,42.097,-79.2353,44.19,50,1,4.0,clear sky
90,Kendari,ID,-3.945,122.4989,75.42,95,65,3.0,broken clouds
91,Zambezi,ZM,-13.5432,23.1047,65.77,88,99,1.32,overcast clouds
92,Atuona,PF,-9.8,-139.0333,78.89,71,3,12.93,clear sky
93,Karachi,PK,24.9056,67.0822,67.82,24,0,4.61,clear sky
94,Sencha,UA,50.2548,33.346,39.33,75,50,13.76,scattered clouds
95,Victoria,HK,22.2855,114.1577,74.32,87,89,7.0,overcast clouds
96,Panzhihua,CN,26.5851,101.7128,51.71,82,1,1.54,clear sky
97,Naze,JP,28.3667,129.4833,68.68,75,100,13.67,overcast clouds
98,Coihaique,CL,-45.5752,-72.0662,58.95,77,90,8.05,light intensity shower rain
99,Nanortalik,GL,60.1432,-45.2371,36.7,98,100,8.99,moderate rain
100,Ostrovnoy,RU,68.0531,39.5131,28.78,86,100,4.34,overcast clouds
101,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,73,98,17.49,overcast clouds
102,Kirakira,SB,-10.4544,161.9205,83.7,69,17,4.7,few clouds
103,Raga,SS,8.4596,25.678,76.77,27,5,4.59,clear sky
104,Te Anau,NZ,-45.4167,167.7167,51.94,93,100,2.04,heavy intensity rain
105,Hithadhoo,MV,-0.6,73.0833,79.97,83,100,16.04,light rain
106,Eydhafushi,MV,5.1033,73.0708,81.91,68,81,17.98,broken clouds
107,Butaritari,KI,3.0707,172.7902,81.63,68,100,13.94,overcast clouds
108,Yenagoa,NG,4.9247,6.2642,76.78,94,52,4.92,broken clouds
109,Mahebourg,MU,-20.4081,57.7,76.24,73,40,8.05,scattered clouds
110,New Norfolk,AU,-42.7826,147.0587,57.65,76,11,2.08,few clouds
111,Olafsvik,IS,64.8945,-23.7142,36.27,68,100,10.04,light rain
112,Namikupa,TZ,-10.8333,39.6,70.7,95,41,2.64,scattered clouds
113,Dois Corregos,BR,-22.3661,-48.3803,83.55,76,45,16.31,scattered clouds
114,Manuk Mangkaw,PH,4.8,119.85,82.8,75,97,2.04,overcast clouds
115,Ballina,AU,-28.8667,153.5667,69.78,96,90,3.44,light rain
116,Cabo San Lucas,MX,22.8909,-109.9124,85.51,61,20,16.11,few clouds
117,San Patricio,US,28.017,-97.5169,80.55,66,92,11.68,overcast clouds
118,Abhar,IR,36.1468,49.218,41.04,70,91,3.0,overcast clouds
119,Bengkulu,ID,-3.8004,102.2655,75.31,89,100,3.87,overcast clouds
120,Cap Malheureux,MU,-19.9842,57.6142,76.46,68,3,3.0,clear sky
121,Tuatapere,NZ,-46.1333,167.6833,55.9,80,100,2.91,moderate rain
122,Saint-Gaudens,FR,43.0833,0.6667,47.52,68,100,4.03,overcast clouds
123,Hede,CN,33.7681,120.2517,56.17,86,100,4.36,overcast clouds
124,Padang,ID,-0.9492,100.3543,75.25,83,99,2.48,overcast clouds
125,Lorengau,PG,-2.0226,147.2712,83.93,67,76,4.32,broken clouds
126,Kapit,MY,2.0167,112.9333,74.64,92,100,1.19,overcast clouds
127,Atambua,ID,-9.1061,124.8925,75.67,86,68,1.28,broken clouds
128,Hervey Bay,AU,-25.2986,152.8535,77.04,63,100,7.76,overcast clouds
129,Norman Wells,CA,65.282,-126.8329,-3.96,77,40,2.3,scattered clouds
130,Zhanakorgan,KZ,43.9098,67.2495,32.79,48,99,12.62,overcast clouds
131,Codrington,AU,-38.2667,141.9667,57.02,64,6,10.83,clear sky
132,Avarua,CK,-21.2078,-159.775,80.65,69,20,16.11,few clouds
133,Tazmalt,DZ,36.3868,4.3989,56.03,86,100,3.51,overcast clouds
134,Myaundzha,RU,63.0494,147.1858,-14.49,100,94,3.02,overcast clouds
135,Oktyabrskiy,RU,54.4815,53.471,32.18,95,100,21.16,light snow
136,Lebanon,US,36.2081,-86.2911,59.65,35,1,10.36,clear sky
137,Provideniya,RU,64.3833,-173.3,6.48,72,6,7.4,clear sky
138,Westport,US,41.1415,-73.3579,45.25,51,1,3.0,clear sky
139,Sambava,MG,-14.2667,50.1667,74.17,82,23,2.95,few clouds
140,Sitka,US,57.0531,-135.33,35.49,69,90,27.63,light snow
141,Mogadishu,SO,2.0371,45.3438,79.32,76,46,13.04,scattered clouds
142,Zhezkazgan,KZ,47.8043,67.7144,17.17,90,100,8.55,overcast clouds
143,Vestmannaeyjar,IS,63.4427,-20.2734,33.87,65,98,15.97,overcast clouds
144,Mlonggo,ID,-6.5333,110.7,78.69,83,100,3.56,overcast clouds
145,Kahului,US,20.8947,-156.47,87.82,66,20,14.97,few clouds
146,Namsos,NO,64.4662,11.4957,41.92,86,100,8.99,overcast clouds
147,Palafrugell,ES,41.9174,3.1631,55.35,55,100,5.46,overcast clouds
148,Salinopolis,BR,-0.6136,-47.3561,80.08,85,43,12.77,scattered clouds
149,Pokosnoye,RU,55.5258,101.0536,-1.19,91,91,4.81,overcast clouds
150,Bathsheba,BB,13.2167,-59.5167,83.01,65,40,13.8,scattered clouds
151,Pangnirtung,CA,66.1451,-65.7125,5.41,82,69,4.36,broken clouds
152,Stornoway,GB,58.2093,-6.3865,42.76,87,75,3.0,broken clouds
153,Ucluelet,CA,48.9329,-125.5528,46.09,86,99,0.81,overcast clouds
154,Pontes E Lacerda,BR,-15.2261,-59.3353,74.75,94,100,3.11,overcast clouds
155,Lerwick,GB,60.1545,-1.1494,41.0,71,88,25.7,overcast clouds
156,Batagay,RU,67.6333,134.6333,-17.48,100,98,1.63,overcast clouds
157,Dayong,CN,25.0209,118.2898,69.89,91,8,3.13,clear sky
158,Lagos,NG,6.5833,3.75,80.92,92,30,4.07,scattered clouds
159,Warrnambool,AU,-38.3833,142.4833,55.69,68,17,9.44,few clouds
160,Dikson,RU,73.5069,80.5464,-8.91,84,78,14.92,broken clouds
161,Tooele,US,40.5308,-112.2983,49.96,61,1,5.75,clear sky
162,Angren,UZ,41.0167,70.1436,40.32,25,0,7.27,clear sky
163,Poum,NC,-20.2333,164.0167,76.23,73,1,13.22,clear sky
164,College,US,64.8569,-147.8028,-0.09,75,1,0.0,clear sky
165,Geraldton,AU,-28.7667,114.6,61.12,82,0,5.75,clear sky
166,Clyde River,CA,70.4692,-68.5914,3.43,85,20,13.8,few clouds
167,Chapais,CA,49.7834,-74.8492,29.98,86,100,12.15,overcast clouds
168,Zeerust,ZA,-25.5369,26.0751,70.61,80,93,10.38,light rain
169,Hasaki,JP,35.7333,140.8333,45.0,59,93,8.01,overcast clouds
170,Fortuna,US,40.5982,-124.1573,63.86,67,1,4.0,clear sky
171,Ribeira Grande,PT,38.5167,-28.7,66.6,72,75,26.46,broken clouds
