City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tasiilaq,GL,2021-11-20 17:55:57,65.6145,-37.6368,25.32,95,100,16.02
1,Christchurch,NZ,2021-11-20 17:55:58,-43.5333,172.6333,55.33,73,76,4.61
2,Cidreira,BR,2021-11-20 17:55:58,-30.1811,-50.2056,70.59,56,0,11.63
3,Rikitea,PF,2021-11-20 17:54:15,-23.1203,-134.9692,73.02,65,100,8.37
4,Barrow,US,2021-11-20 17:55:59,71.2906,-156.7887,1.42,85,20,8.05
5,Hasaki,JP,2021-11-20 17:55:59,35.7333,140.8333,46.69,60,38,5.59
6,Atuona,PF,2021-11-20 17:55:59,-9.8,-139.0333,79.47,68,3,13.42
7,Bluff,NZ,2021-11-20 17:56:00,-46.6,168.3333,52.27,94,100,6.22
8,Constitucion,CL,2021-11-20 17:56:00,-35.3333,-72.4167,65.26,65,12,9.17
9,Qaanaaq,GL,2021-11-20 17:56:00,77.484,-69.3632,-5.64,70,14,6.87
10,Lompoc,US,2021-11-20 17:54:23,34.6391,-120.4579,76.14,84,20,0.0
11,Torbay,CA,2021-11-20 17:56:01,47.6666,-52.7314,43.57,83,75,14.97
12,Cape Town,ZA,2021-11-20 17:56:01,-33.9258,18.4232,71.28,54,20,19.57
13,Souillac,MU,2021-11-20 17:56:02,-20.5167,57.5167,77.36,73,40,9.22
14,Comodoro Rivadavia,AR,2021-11-20 17:56:02,-45.8667,-67.5,80.46,24,40,24.16
15,Punta Arenas,CL,2021-11-20 17:56:02,-53.15,-70.9167,46.51,53,40,40.29
16,Novoilinsk,RU,2021-11-20 17:56:03,51.6829,108.7143,14.18,94,100,3.15
17,Puerto Ayacucho,VE,2021-11-20 17:56:03,5.6639,-67.6236,91.74,51,53,2.15
18,Mataura,NZ,2021-11-20 17:56:04,-46.1927,168.8643,50.27,99,100,2.57
19,Albany,US,2021-11-20 17:52:41,42.6001,-73.9662,44.58,57,51,1.99
20,Pimentel,PE,2021-11-20 17:56:04,-6.8367,-79.9342,73.69,60,0,18.41
21,Alyangula,AU,2021-11-20 17:56:04,-13.8483,136.4192,75.07,94,32,1.14
22,Ushuaia,AR,2021-11-20 17:56:05,-54.8,-68.3,38.86,65,75,21.85
